student_id,year_of_study,study_time,group_size,study_purpose,location
STU0467,Sophomore,Afternoon,Solo,Exam_Prep,Library
STU0468,Junior,Late_Night,Pair,Project,Cafe
STU0469,Sophomore,Afternoon,Small_Group,Project,Study_Hall
STU0470,Senior,Evening,Large_Group,Reading,Cafe
STU0471,Junior,Morning,Small_Group,Project,Library
STU0472,Sophomore,Afternoon,Pair,Project,Library
STU0473,Senior,Afternoon,Large_Group,Exam_Prep,Library
STU0474,Sophomore,Afternoon,Solo,Assignment,Cafe
STU0475,Junior,Late_Night,Pair,Exam_Prep,Library
STU0476,Sophomore,Late_Night,Small_Group,Reading,Outdoor
STU0477,Sophomore,Morning,Large_Group,Exam_Prep,Library
STU0478,Freshman,Late_Night,Large_Group,Project,Library
STU0479,Senior,Evening,Solo,Project,Dorm
STU0480,Junior,Evening,Large_Group,Exam_Prep,Outdoor
STU0481,Freshman,Morning,Pair,Assignment,Dorm
STU0482,Freshman,Morning,Pair,Reading,Library
STU0483,Freshman,Evening,Large_Group,Assignment,Outdoor
STU0484,Sophomore,Morning,Pair,Assignment,Study_Hall
STU0485,Sophomore,Late_Night,Solo,Exam_Prep,Dorm
STU0486,Freshman,Afternoon,Pair,Assignment,Cafe
STU0487,Senior,Late_Night,Small_Group,Assignment,Cafe
STU0488,Freshman,Afternoon,Solo,Exam_Prep,Cafe
STU0489,Junior,Afternoon,Large_Group,Assignment,Dorm
STU0490,Sophomore,Evening,Small_Group,Reading,Dorm
STU0491,Senior,Morning,Solo,Exam_Prep,Study_Hall
STU0492,Freshman,Morning,Small_Group,Project,Study_Hall
STU0493,Senior,Morning,Small_Group,Project,Outdoor
STU0494,Junior,Late_Night,Small_Group,Exam_Prep,Dorm
STU0495,Freshman,Late_Night,Pair,Exam_Prep,Study_Hall
STU0496,Senior,Evening,Pair,Assignment,Outdoor
STU0497,Senior,Afternoon,Small_Group,Reading,Dorm
STU0498,Senior,Morning,Pair,Reading,Outdoor
STU0499,Sophomore,Evening,Small_Group,Project,Study_Hall
STU0500,Senior,Afternoon,Solo,Assignment
