Brand,Processor,RAM_GB,Storage_GB,Screen_Size,Graphics_Card,Weight_kg,Operating_System,Price
Samsung,Intel i3,32.0,256.0,15.6,Integrated,1.84,macOS,1549.26
HP,Intel i5,16.0,256.0,14.0,NVIDIA RTX 4060,2.89,macOS,1817.45
Dell,Apple M2,32.0,2048.0,14.0,NVIDIA GTX 1650,2.95,Linux,2536.0
Apple,Apple M2,8.0,256.0,13.3,NVIDIA RTX 3060,,macOS,2803.89
Apple,Apple M1,16.0,256.0,14.0,NVIDIA RTX 3060,2.09,Linux,2463.15
Samsung,AMD Ryzen 5,16.0,512.0,13.3,AMD Radeon,2.15,DOS,1234.44
Apple,Intel i9,32.0,256.0,13.3,NVIDIA RTX 3060,2.13,Linux,2689.83
Lenovo,Apple M1,64.0,2048.0,14.0,NVIDIA RTX 3060,2.49,Windows 10,3077.16
Lenovo,Intel i7,4.0,1024.0,14.0,NVIDIA RTX 3050,1.33,DOS,1556.57
HP,AMD Ryzen 5,64.0,1024.0,17.3,NVIDIA RTX 3050,2.21,Linux,2098.19
Dell,AMD Ryzen 7,4.0,512.0,15.6,NVIDIA RTX 3060,1.34,Linux,1674.16
Lenovo,Apple M2,32.0,512.0,13.3,Integrated,2.17,Linux,2011.26
MSI,AMD Ryzen 5,32.0,1024.0,15.6,Integrated,3.39,DOS,1476.17
Acer,Intel i5,16.0,256.0,15.6,Integrated,2.55,DOS,1154.3
Lenovo,Intel i7,64.0,1024.0,14.0,NVIDIA RTX 3050,2.19,macOS,2568.77
Samsung,AMD Ryzen 3,32.0,256.0,13.3,NVIDIA GTX 1650,3.36,Linux,1366.32
Asus,AMD Ryzen 7,8.0,1024.0,13.3,,1.22,Windows 11,1280.83
Asus,Apple M2,32.0,2048.0,13.3,NVIDIA RTX 3060,1.23,Linux,2397.91
Apple,AMD Ryzen 7,,1024.0,17.3,AMD Radeon,1.77,Windows 10,2319.21
Apple,Apple M2,64.0,2048.0,17.3,NVIDIA RTX 3050,1.34,Windows 10,3587.13
Acer,Intel i9,8.0,256.0,15.6,AMD Radeon,3.27,Windows 10,1905.03
Lenovo,Intel i9,64.0,512.0,14.0,NVIDIA RTX 3060,3.01,Windows 11,2903.59
Acer,Intel i5,64.0,1024.0,15.6,NVIDIA GTX 1650,1.64,Windows 11,2229.4
Dell,AMD Ryzen 3,32.0,256.0,13.3,,1.25,DOS,1157.14
HP,Apple M2,4.0,256.0,17.3,NVIDIA RTX 4060,1.72,Linux,2323.53
Dell,AMD Ryzen 7,4.0,256.0,14.0,AMD Radeon,1.72,Windows 10,1404.09
Acer,AMD Ryzen 3,8.0,512.0,17.3,Integrated,2.74,Windows 10,1161.19
Lenovo,AMD Ryzen 7,32.0,2048.0,15.6,AMD Radeon,3.05,Windows 10,2321.82
Lenovo,Intel i3,64.0,2048.0,14.0,NVIDIA RTX 3060,2.94,DOS,2463.41
Asus,Apple M2,8.0,2048.0,14.0,,1.26,Windows 11,1830.49
Lenovo,Apple M1,32.0,,14.0,NVIDIA RTX 3060,3.04,Linux,2167.26
Lenovo,Intel i5,16.0,1024.0,13.3,NVIDIA RTX 3050,1.65,Linux,1506.6
Samsung,Apple M2,32.0,256.0,13.3,Integrated,2.11,Windows 10,1969.76
Asus,AMD Ryzen 5,32.0,512.0,15.6,NVIDIA RTX 3050,2.04,macOS,1799.75
Samsung,AMD Ryzen 5,4.0,2048.0,13.3,NVIDIA RTX 4060,2.89,macOS,1986.1
Apple,AMD Ryzen 5,16.0,2048.0,13.3,NVIDIA RTX 3060,,Windows 11,2255.48
MSI,AMD Ryzen 3,64.0,512.0,13.3,NVIDIA GTX 1650,1.58,Windows 10,2092.02
MSI,AMD Ryzen 3,4.0,1024.0,13.3,NVIDIA RTX 3060,2.85,Windows 10,1459.65
Apple,AMD Ryzen 3,16.0,256.0,17.3,NVIDIA RTX 4060,1.88,Windows 10,2023.57
Asus,Apple M2,16.0,512.0,15.6,NVIDIA RTX 3060,2.26,DOS,2057.48
Apple,Intel i7,32.0,2048.0,14.0,NVIDIA GTX 1650,,Linux,2574.79
Apple,Intel i3,64.0,1024.0,17.3,NVIDIA GTX 1650,2.0,Windows 10,2718.47
Dell,AMD Ryzen 7,4.0,256.0,17.3,NVIDIA RTX 3050,3.14,macOS,1688.52
Asus,Intel i5,8.0,1024.0,17.3,NVIDIA RTX 3060,2.77,Windows 11,1757.54
Dell,Apple M1,16.0,2048.0,14.0,Integrated,1.7,DOS,1611.28
Acer,AMD Ryzen 3,32.0,512.0,17.3,NVIDIA RTX 3060,1.74,Windows 11,1970.26
Acer,Intel i5,,256.0,14.0,NVIDIA RTX 3050,1.2,macOS,1455.6
Samsung,AMD Ryzen 5,32.0,256.0,17.3,AMD Radeon,2.07,macOS,1865.06
Dell,Apple M1,8.0,512.0,15.6,AMD Radeon,3.17,macOS,2089.29
Lenovo,Intel i7,4.0,2048.0,17.3,NVIDIA RTX 4060,3.41,Windows 11,2117.17
MSI,Apple M2,32.0,1024.0,15.6,NVIDIA RTX 3060,1.46,DOS,2616.73
Samsung,Intel i3,4.0,2048.0,13.3,NVIDIA RTX 3060,1.89,macOS,1631.36
Dell,Apple M2,32.0,1024.0,17.3,NVIDIA RTX 3060,3.16,Windows 11,2588.71
Apple,Apple M2,64.0,512.0,13.3,AMD Radeon,2.19,macOS,3630.07
HP,AMD Ryzen 3,64.0,256.0,17.3,NVIDIA RTX 3060,1.71,Linux,2043.86
Acer,Apple M2,64.0,256.0,17.3,NVIDIA RTX 3050,3.11,Windows 11,2592.36
MSI,Apple M1,32.0,512.0,17.3,AMD Radeon,2.98,Windows 11,2229.49
Asus,AMD Ryzen 5,64.0,1024.0,14.0,NVIDIA RTX 3060,3.01,macOS,2424.24
MSI,Intel i9,32.0,256.0,15.6,AMD Radeon,1.8,Windows 10,2297.88
Dell,Intel i3,4.0,512.0,13.3,NVIDIA RTX 4060,2.29,Windows 10,1711.76
Lenovo,Intel i3,4.0,256.0,13.3,Integrated,2.63,macOS,1043.32
Asus,Apple M1,4.0,256.0,13.3,AMD Radeon,3.16,Windows 11,1556.73
Lenovo,Intel i9,32.0,256.0,14.0,NVIDIA RTX 4060,2.21,Windows 10,2462.32
Apple,Apple M2,4.0,2048.0,13.3,Integrated,2.62,DOS,2115.62
MSI,AMD Ryzen 7,4.0,1024.0,13.3,NVIDIA RTX 3050,1.3,macOS,1648.44
Apple,Intel i3,32.0,1024.0,17.3,NVIDIA RTX 4060,2.84,Linux,2566.19
Dell,AMD Ryzen 7,32.0,512.0,13.3,Integrated,2.66,DOS,1623.18
Dell,Intel i9,8.0,512.0,14.0,NVIDIA RTX 3060,2.08,Linux,1925.03
Lenovo,Apple M1,32.0,256.0,13.3,NVIDIA RTX 3060,1.38,Windows 11,2475.33
MSI,Apple M2,8.0,512.0,15.6,NVIDIA RTX 3050,2.58,Windows 10,1984.32
Dell,Apple M2,32.0,1024.0,17.3,AMD Radeon,1.48,Windows 10,2474.35
Lenovo,Apple M1,8.0,256.0,13.3,AMD Radeon,2.42,macOS,1809.32
Acer,AMD Ryzen 3,64.0,512.0,13.3,Integrated,2.88,Windows 11,1701.62
Acer,AMD Ryzen 5,,512.0,17.3,NVIDIA RTX 3050,1.38,Windows 11,1502.26
HP,Intel i5,16.0,1024.0,17.3,NVIDIA RTX 3060,3.31,macOS,1951.16
HP,Apple M2,32.0,2048.0,13.3,NVIDIA GTX 1650,1.58,DOS,2401.21
Acer,Apple M1,4.0,256.0,15.6,NVIDIA RTX 3060,1.98,Windows 10,1914.66
Asus,Intel i7,16.0,1024.0,15.6,NVIDIA RTX 3050,2.14,Windows 11,1693.82
Samsung,AMD Ryzen 3,8.0,2048.0,17.3,NVIDIA RTX 3060,2.49,Linux,1599.22
HP,AMD Ryzen 3,16.0,1024.0,15.6,NVIDIA RTX 4060,2.08,macOS,1860.57
Lenovo,Intel i7,8.0,512.0,15.6,NVIDIA RTX 4060,2.25,Windows 10,2137.14
Acer,AMD Ryzen 3,8.0,2048.0,13.3,NVIDIA RTX 3050,3.24,Linux,1542.08
Dell,Intel i3,,256.0,15.6,AMD Radeon,2.1,DOS,2144.97
Apple,Intel i9,64.0,256.0,13.3,Integrated,2.42,DOS,2856.58
Lenovo,AMD Ryzen 7,16.0,1024.0,14.0,NVIDIA GTX 1650,1.8,macOS,1649.73
Acer,AMD Ryzen 3,32.0,1024.0,15.6,NVIDIA RTX 3060,,Linux,1835.57
Acer,Intel i7,64.0,1024.0,14.0,,1.68,DOS,2597.05
Asus,Intel i5,4.0,2048.0,14.0,NVIDIA RTX 3050,1.66,DOS,1331.37
Acer,Intel i3,64.0,2048.0,14.0,NVIDIA RTX 3050,1.5,macOS,2669.24
Lenovo,AMD Ryzen 5,64.0,1024.0,17.3,,1.5,macOS,2453.57
Acer,Intel i3,32.0,256.0,14.0,NVIDIA GTX 1650,3.37,Windows 11,1654.79
HP,Intel i9,8.0,2048.0,14.0,NVIDIA RTX 3050,1.67,macOS,2242.25
Dell,Intel i7,8.0,256.0,15.6,NVIDIA RTX 4060,3.46,Windows 10,1928.34
MSI,Intel i9,64.0,1024.0,17.3,Integrated,1.34,DOS,2577.84
Dell,Intel i3,16.0,1024.0,14.0,NVIDIA RTX 3050,2.23,DOS,1503.14
Acer,AMD Ryzen 7,8.0,2048.0,14.0,NVIDIA RTX 4060,1.27,macOS,2312.96
HP,AMD Ryzen 3,32.0,512.0,13.3,NVIDIA RTX 3050,1.68,Windows 11,1739.2
Lenovo,Intel i7,8.0,2048.0,14.0,Integrated,1.41,macOS,1777.94
Dell,AMD Ryzen 3,4.0,1024.0,13.3,NVIDIA RTX 4060,2.93,DOS,1617.44
Dell,Intel i3,32.0,1024.0,14.0,Integrated,2.86,Linux,1387.34
Apple,Intel i7,16.0,512.0,17.3,NVIDIA RTX 4060,3.38,Windows 10,2291.62
Lenovo,AMD Ryzen 5,8.0,2048.0,13.3,NVIDIA GTX 1650,3.03,Linux,1312.92
HP,Apple M1,32.0,512.0,15.6,NVIDIA RTX 3050,3.05,macOS,2079.05
MSI,AMD Ryzen 3,4.0,256.0,13.3,AMD Radeon,3.45,DOS,1041.37
Lenovo,Apple M2,4.0,512.0,15.6,Integrated,2.86,Windows 10,1748.32
Samsung,AMD Ryzen 5,32.0,2048.0,17.3,NVIDIA GTX 1650,1.76,Linux,1811.67
Acer,Apple M1,32.0,256.0,15.6,NVIDIA GTX 1650,2.12,Windows 10,1881.71
HP,Apple M2,32.0,256.0,15.6,Integrated,1.2,Windows 10,2208.72
HP,AMD Ryzen 5,4.0,1024.0,17.3,NVIDIA GTX 1650,2.27,DOS,1327.03
Samsung,Apple M2,4.0,1024.0,15.6,Integrated,3.14,Linux,1801.1
HP,Intel i7,64.0,1024.0,13.3,AMD Radeon,2.07,Linux,2442.25
Dell,AMD Ryzen 7,8.0,256.0,13.3,NVIDIA RTX 3060,2.66,Windows 10,1534.99
Acer,AMD Ryzen 3,16.0,256.0,13.3,Integrated,1.84,macOS,1312.98
MSI,Apple M2,4.0,256.0,17.3,NVIDIA RTX 3050,2.66,DOS,1768.7
Acer,AMD Ryzen 5,32.0,2048.0,13.3,NVIDIA RTX 3050,2.25,Windows 10,1985.17
Lenovo,Apple M2,32.0,1024.0,13.3,NVIDIA RTX 4060,2.16,DOS,2595.15
HP,Apple M2,4.0,512.0,15.6,AMD Radeon,3.22,Windows 11,2043.08
MSI,Intel i5,,2048.0,17.3,NVIDIA RTX 3060,2.9,Linux,1985.31
Asus,AMD Ryzen 3,32.0,2048.0,14.0,AMD Radeon,2.53,DOS,1620.25
Lenovo,Apple M2,4.0,512.0,14.0,NVIDIA GTX 1650,2.45,DOS,1770.99
Acer,AMD Ryzen 3,8.0,512.0,13.3,NVIDIA RTX 3060,3.38,macOS,1520.63
MSI,AMD Ryzen 5,4.0,2048.0,14.0,NVIDIA RTX 3060,1.22,macOS,2072.76
HP,AMD Ryzen 5,4.0,2048.0,15.6,NVIDIA RTX 3060,1.81,Windows 11,1746.61
HP,AMD Ryzen 5,64.0,512.0,15.6,AMD Radeon,2.05,DOS,1962.28
Samsung,AMD Ryzen 3,4.0,256.0,15.6,NVIDIA GTX 1650,1.71,Windows 11,1169.61
Samsung,AMD Ryzen 3,32.0,256.0,15.6,NVIDIA RTX 3060,3.15,Windows 11,1887.97
Samsung,Intel i3,4.0,2048.0,17.3,NVIDIA RTX 4060,2.12,Linux,2012.05
Acer,Apple M2,64.0,512.0,14.0,NVIDIA RTX 3060,2.29,Linux,2871.68
HP,Intel i9,8.0,2048.0,13.3,NVIDIA RTX 4060,2.42,Linux,2394.31
MSI,AMD Ryzen 5,4.0,256.0,15.6,NVIDIA GTX 1650,1.65,Windows 10,1425.0
Dell,Intel i7,16.0,256.0,13.3,NVIDIA RTX 3060,2.09,Linux,1794.23
Dell,Intel i3,32.0,512.0,17.3,AMD Radeon,2.28,Windows 11,1767.51
HP,Intel i3,8.0,256.0,17.3,NVIDIA RTX 3060,1.73,Windows 11,1620.35
Lenovo,Intel i5,64.0,512.0,13.3,AMD Radeon,1.38,Windows 10,2193.16
Apple,Intel i7,64.0,2048.0,17.3,NVIDIA RTX 4060,1.31,Windows 11,3258.14
Lenovo,Intel i5,16.0,1024.0,17.3,NVIDIA RTX 3060,3.41,Linux,1885.76
Samsung,Apple M1,16.0,512.0,14.0,Integrated,1.7,DOS,1576.68
Lenovo,AMD Ryzen 7,8.0,512.0,14.0,NVIDIA RTX 3060,3.11,DOS,1694.62
HP,Intel i3,16.0,1024.0,13.3,NVIDIA GTX 1650,3.42,DOS,1327.42
Apple,Intel i9,4.0,1024.0,15.6,Integrated,1.57,Windows 10,2219.99
Apple,Apple M2,64.0,512.0,17.3,NVIDIA RTX 4060,2.07,Linux,3388.38
Lenovo,AMD Ryzen 3,8.0,2048.0,17.3,NVIDIA GTX 1650,2.38,macOS,1524.27
Lenovo,Apple M2,64.0,,17.3,NVIDIA RTX 4060,1.2,Linux,3112.39
Samsung,AMD Ryzen 7,16.0,512.0,15.6,Integrated,1.3,DOS,1373.71
Lenovo,Intel i9,32.0,256.0,14.0,NVIDIA RTX 3050,1.33,macOS,2233.43
Dell,Intel i5,64.0,2048.0,13.3,NVIDIA RTX 3060,2.52,Windows 10,2695.06
HP,Intel i3,8.0,512.0,13.3,NVIDIA RTX 3060,1.43,Windows 10,1519.5
Dell,Apple M2,64.0,512.0,13.3,Integrated,1.54,DOS,2317.84
Asus,AMD Ryzen 3,16.0,,15.6,NVIDIA RTX 4060,2.39,Windows 10,2151.03
Acer,AMD Ryzen 7,8.0,2048.0,13.3,NVIDIA RTX 4060,2.96,Windows 10,2256.0
HP,Intel i9,64.0,256.0,17.3,Integrated,1.88,Linux,2490.36
Lenovo,Intel i9,8.0,1024.0,15.6,,2.26,macOS,2641.87
Acer,Intel i9,8.0,256.0,17.3,NVIDIA GTX 1650,3.1,Windows 10,1940.05
MSI,AMD Ryzen 3,32.0,1024.0,13.3,NVIDIA RTX 4060,2.1,DOS,2147.92
Dell,Apple M2,32.0,512.0,14.0,NVIDIA RTX 4060,2.86,DOS,2485.37
Lenovo,Intel i7,32.0,2048.0,17.3,AMD Radeon,,Linux,2225.92
Acer,AMD Ryzen 7,8.0,512.0,14.0,AMD Radeon,3.08,macOS,1523.81
Dell,AMD Ryzen 5,32.0,1024.0,17.3,AMD Radeon,2.1,DOS,1589.79
Samsung,AMD Ryzen 7,8.0,512.0,17.3,NVIDIA RTX 3050,1.82,Windows 11,1614.54
Samsung,AMD Ryzen 5,4.0,256.0,17.3,NVIDIA RTX 3060,2.65,macOS,1761.14
Apple,Intel i3,4.0,1024.0,13.3,NVIDIA RTX 3050,2.05,Windows 11,1711.89
HP,Apple M1,16.0,512.0,13.3,NVIDIA GTX 1650,2.88,Windows 11,1730.89
Lenovo,Apple M2,64.0,256.0,13.3,AMD Radeon,1.97,Linux,2472.48
Dell,Intel i3,32.0,2048.0,15.6,NVIDIA RTX 4060,3.38,Windows 11,2212.74
HP,Intel i9,32.0,512.0,13.3,NVIDIA RTX 3050,3.0,macOS,2122.89
HP,Intel i3,8.0,256.0,15.6,NVIDIA RTX 3060,2.49,DOS,1382.88
Dell,Intel i3,4.0,2048.0,15.6,NVIDIA RTX 4060,2.36,macOS,1972.18
Samsung,Intel i7,16.0,2048.0,17.3,NVIDIA RTX 3050,3.22,Windows 11,1949.72
Asus,AMD Ryzen 7,8.0,2048.0,14.0,NVIDIA RTX 3050,2.35,macOS,2024.91
MSI,Intel i7,16.0,512.0,17.3,NVIDIA RTX 3060,1.63,Linux,1879.43
Lenovo,AMD Ryzen 3,16.0,2048.0,13.3,,1.97,Windows 11,1713.64
Acer,AMD Ryzen 5,16.0,256.0,14.0,NVIDIA GTX 1650,2.2,macOS,1510.19
Lenovo,Intel i5,32.0,256.0,13.3,NVIDIA RTX 3060,2.74,macOS,2087.05
Acer,Apple M1,32.0,256.0,17.3,NVIDIA GTX 1650,3.36,Windows 11,2284.66
HP,Intel i3,8.0,512.0,14.0,NVIDIA RTX 4060,3.45,Windows 11,1735.63
HP,Intel i9,4.0,256.0,15.6,Integrated,2.11,macOS,1726.06
HP,Apple M2,16.0,2048.0,14.0,NVIDIA RTX 3060,2.46,Windows 10,2538.75
MSI,AMD Ryzen 5,32.0,1024.0,13.3,AMD Radeon,2.8,macOS,2028.56
MSI,Intel i5,64.0,512.0,14.0,NVIDIA RTX 3050,2.06,macOS,2553.64
Dell,AMD Ryzen 5,4.0,1024.0,17.3,NVIDIA RTX 3050,2.57,DOS,1252.28
Lenovo,Apple M2,8.0,,15.6,NVIDIA RTX 3050,2.89,DOS,1749.76
Apple,Intel i9,8.0,512.0,13.3,NVIDIA RTX 4060,2.14,Windows 11,2601.88
MSI,Intel i3,4.0,2048.0,15.6,Integrated,,Windows 11,1472.93
HP,AMD Ryzen 5,4.0,512.0,14.0,NVIDIA RTX 3050,2.2,macOS,1538.11
Acer,Apple M2,,1024.0,15.6,NVIDIA RTX 3060,2.2,Windows 11,2583.37
Lenovo,Apple M1,32.0,256.0,15.6,Integrated,,Windows 10,1981.76
Samsung,AMD Ryzen 7,4.0,256.0,15.6,NVIDIA RTX 3060,1.23,Windows 11,1612.7
Acer,Intel i5,16.0,256.0,14.0,NVIDIA RTX 3050,1.7,Windows 11,1529.51
HP,AMD Ryzen 7,8.0,512.0,14.0,NVIDIA RTX 3050,2.34,DOS,1487.49
Lenovo,AMD Ryzen 5,4.0,1024.0,17.3,NVIDIA RTX 3050,2.4,macOS,1665.13
Dell,Apple M2,64.0,512.0,15.6,Integrated,1.97,Linux,2481.74
Apple,AMD Ryzen 3,4.0,512.0,17.3,NVIDIA RTX 3050,2.24,DOS,1690.36
Lenovo,AMD Ryzen 5,8.0,2048.0,17.3,NVIDIA GTX 1650,2.69,DOS,1525.17
HP,Intel i5,16.0,512.0,13.3,NVIDIA RTX 4060,1.89,DOS,1702.36
Samsung,Intel i9,32.0,1024.0,13.3,NVIDIA RTX 3050,2.14,Windows 10,2336.19
Apple,AMD Ryzen 5,64.0,2048.0,13.3,NVIDIA RTX 4060,3.01,Linux,3215.45
MSI,Intel i7,64.0,1024.0,17.3,NVIDIA RTX 3050,1.45,DOS,2307.72
Asus,Apple M1,8.0,1024.0,13.3,NVIDIA RTX 4060,2.91,Windows 10,2349.47
Dell,AMD Ryzen 7,64.0,2048.0,14.0,NVIDIA GTX 1650,2.06,Windows 10,2750.16
Dell,Intel i3,64.0,256.0,13.3,AMD Radeon,,macOS,2098.99
Dell,AMD Ryzen 5,64.0,512.0,15.6,Integrated,1.99,macOS,2092.4
MSI,AMD Ryzen 5,4.0,256.0,15.6,NVIDIA RTX 4060,2.15,Linux,1598.98
MSI,Intel i3,64.0,512.0,13.3,AMD Radeon,3.02,Windows 11,2134.61
Apple,Intel i7,8.0,512.0,15.6,,2.54,Windows 10,2197.22
Asus,AMD Ryzen 7,16.0,512.0,15.6,AMD Radeon,3.41,macOS,1783.86
MSI,Intel i3,4.0,1024.0,15.6,NVIDIA GTX 1650,2.15,Windows 10,1266.59
HP,Intel i5,16.0,256.0,14.0,Integrated,2.65,DOS,1131.2
Acer,AMD Ryzen 7,8.0,256.0,15.6,NVIDIA RTX 4060,2.1,Windows 11,1958.04
HP,Intel i3,64.0,256.0,13.3,AMD Radeon,3.02,Windows 11,
Lenovo,AMD Ryzen 3,16.0,2048.0,14.0,NVIDIA RTX 3060,3.23,Linux,
Samsung,Intel i3,64.0,256.0,14.0,Integrated,2.32,macOS,
MSI,Intel i7,16.0,512.0,13.3,NVIDIA RTX 4060,2.31,macOS,
Apple,Apple M2,8.0,1024.0,17.3,NVIDIA GTX 1650,1.35,Linux,
